CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
La Mesa,La Mesa City Hall,,CA,US,2020-08-01,,300,,300,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://timesofsandiego.com/politics/2020/08/01/taunted-by-defenders-300-march-in-la-mesa-to-demand-justice/,,,,
La Mesa,La Mesa City Hall,,CA,US,2020-08-01,scores,40,,40,,,Defend East County,"against Black Lives Matter, for President Trump, for recall of Governor Gavin Newsom",2,counter-protest,1,,,,0,1,https://timesofsandiego.com/politics/2020/08/01/taunted-by-defenders-300-march-in-la-mesa-to-demand-justice/,,,,
Lodi,Emerson Park,,CA,US,2020-08-01,about two dozen,24,,24,,,general protestors,antiracism; seek racial justice,1,protest,0,0,0,0,1,1,https://www.instagram.com/p/CCzoyW1BrE_/,https://www.lodinews.com/news/article_947e1194-d756-11ea-9aee-e387be74e901.html,,,
Los Angeles,"outside the home of Mayor Garcetti, Windsor Square",,CA,US,2020-08-01,hundreds,200,,200,,,The People's City Council,"for ban on evictions, for canceling rents, for commandeering hotels to house homeless people",0,protest,3,,,,1,1,https://www.latimes.com/california/story/2020-08-01/arrests-protest-demanding-rent-cancellation-outside-mayor-garcettis-home,,,,
Los Gatos,Plaza Park,,CA,US,2020-08-01,,,,,,,Black Lives Matter,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CDL-X80BvUt/,,,,
Milwaukee,Washington Park,,WI,US,2020-08-01,more than 100,100,,100,,,Milwaukee Autonomous Tenants Union,for eviction moratorium and other housing protections during COVID-19 pandemic,0,march,,,,,1,1,https://www.jsonline.com/story/news/2020/08/01/tenant-rights-activists-march-mayor-barretts-house-pandemic/5564552002/,,,,
Oakland,West Oakland BART,,CA,US,2020-08-01,,,,,,,general protestors,antiracism; power to the people,1,protest,,,,,1,1,https://sf.funcheap.com/west-oakland-solidarity-power-people/,,,,
San Francisco,"Washington St and Drumm St, to Sausalito, to Richmond, to Oakland",,CA,US,2020-08-01,,,,,,,Bike Ride for Change,antiracism; Black Lives Matter,1,bike ride,,,,,1,1,https://www.instagram.com/p/CDQFsEChm4m/,,,,
San Francisco,Polk and California,,CA,US,2020-08-01,,,,,,,local protestors,anti fascism; anti Trump; anti federal police deployments to Portland,1,protest,,,,,1,1,https://sf.funcheap.com/trumps-gestapo-protest-rally/,,,,
San Geronimo,intersection of Nicasio Valley Road and Sir Francis Drake Blvd,,CA,US,2020-08-01,about 30,30,,30,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.instagram.com/p/CDC_rU1BqRc/,https://www.marinij.com/2020/08/01/west-marin-protesters-call-for-racial-justice/,,,
