CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Graham,,,NC,US,2020-02-01,50,50,,50,,,general protesters,"against racism, against police violence",0,protest,,,,,1,1,https://www.heraldsun.com/news/local/article243950637.html,,,,
Ashland,Memorial Park; streets of Ashland; Highway 13 to Enbridge Bunker,,WI,US,2020-07-01,,,,,,,"""Water Protectors""; general protesters","express concern about the recloation of Enbridge Line 5 Pipeline; in support of water, clean air, clean resources, clean food, self-sustainability, and move tward green energy",0,protest,0,0,0,0,1,1,https://kbjr6.com/2020/07/01/protesters-march-in-ashland-opposing-line-5-relocation/,,,,
New York,Brooklyn; outside Sen. Schumer home,Kings,NY,US,2020-07-01,,,,,,,IfNotNow,against Israeli occupation and annexation,1,protest,,,,,1,1,https://www.ifnotnowmovement.org/press-release-wake-up-chuck-and-nancy,,,,
New York,Brooklyn; Bay Ridge to Barclays Center,Kings,NY,US,2020-07-01,300; several thousand,300,,3000,,,general protestors,against Israeli occupation and annexation,1,protest,,,,,0,1,https://twitter.com/protest_nyc/status/1278422096595554304,https://www.flickr.com/photos/joegaza/50067497176/in/album-72157714939064997/,,,
New York,Brooklyn; Bay Ridge,Kings,NY,US,2020-07-01,,,,,,,general protestors,pro-Trump; support Israeli occupation and annexation,2,counter-protest,,,,,0,1,https://twitter.com/protest_nyc/status/1278422096595554304,,,,
Provo,,,UT,US,2020-07-01,about one-third of up to 300,100,,100,,,general protestors,against Black Lives Matter,2,counterprotest,0,0,0,0,1,1,"http://midutahradio.com/news/local-news/opposing-groups-protest-in-provo-following-shooting/#:~:text=Opposing%20groups%20protest%20in%20Provo%20following%20shooting.%20PROVO%2C,as%20the%20car%20began%20slowly%20accelerating%20through%20protesters.",,,,
Richmond,John Marshal Courts Building to the Executive Mansion,,VA,US,2020-07-01,,,,,,,general protestors,protest end to eviction moratorium,0,protest,2,0,0,1,1,1,https://www.usnews.com/news/best-states/virginia/articles/2020-07-02/court-window-smashed-at-least-2-arrests-in-virginia-protest,,,,
Roslyn,,,NY,US,2020-07-01,,,,,,,Pgh LGBTQ+ coalition,BLM,0,Protest,2,,,,1,1,https://docs.google.com/document/d/1gj1p6FoLpoO6UPPXlTgyfZkIReWo7uYfZueyiO5NtW4/edit#,,,,
Saint Louis,Old Courthouse,,MO,US,2020-07-01,dozens ,24,,24,,,general protesers,against police brutality,0,protest,,,,,1,1,https://www.ksdk.com/article/news/local/protests/activists-reparations-downtown-st-louis-protest/63-87bb68db-65fe-4d9b-88f0-4aed8cef5088,,,,
Saint Paul,Interstate 94,,MN,US,2020-07-01,,,,,,,general protesters,"for justice for Oromos in Ethiopia, against killing of Hachalu Hundessa",0,roadblock,,,,,1,1,https://www.twincities.com/2020/07/05/hachalu-hundessa-mn-st-paul-rally-ethiopians-oromo/,,,,
