CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,,,,,,,,,,,,,,,,
Crown Point,,Lake,IN,US,2020-06-01,na,21,,21,,,general protesters,against Black Lives Matter,2,counter-protest,0,0,0,0,1,1,https://heavy.com/news/2020/06/black-lives-matter-protestors-armed-white-residents/,https://abcnews.go.com/US/wireStory/peaceful-protesters-indiana-marched-armed-residents-71081276,,,,,,,,,,,,,,,,,,,,,
Hermitage,,Mercer,PA,US,2020-06-01,,,,,,,general protesters,press police to release confiscated weapon,0,demonstration,0,0,0,0,1,1,https://www.sharonherald.com/news/protesters-gather-at-hermitage-city-building/article_4cadcfd4-a47b-11ea-bd81-8bc457b72b6b.html,,,,,,,,,,,,,,,,,,,,,,
Morganton,Case Farms Chicken facility,Burke,NC,US,2020-06-01,,,,,,,Asheville Animal Save,For animal welfare; for worker safety; Coronavirus,0,protest,0,0,0,0,1,1,https://www.morganton.com/news/group-plans-to-protest-outside-case-farms-on-monday/article_a3e1c88d-ea48-52a9-a74a-2c6bbeb6b37b.html,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,Girard Avenue at Fishtown Neighborhood,,PA,US,2020-06-01,pic count,13,,13,,,old-time Fishtowners,protecting against looters,0,protest,0,0,0,0,1,1,https://fusion.inquirer.com/news/philadelphia/philadelphia-fishtown-protester-vigilante-police-investigation-20200625.html,,,Over 36 Fishtown residents called the police to report the Fishtown protestors who were armed with bats; police said this was legal,0,,,,,,,,,,,,,,,,,,
Boise,,Ada,ID,US,2020-06-02,,,,,,,general protesters,against anti-racism protestors,0,counter-protest,0,0,0,0,0,1,https://magicvalley.com/opinion/columnists/idaho-view-protesting-against-the-black-lives-matter-vigil-in-boise-is-the-wrong-side/article_f4d8077c-fc2c-549b-8c62-5bbfbdc779c9.html,,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Coquille,Coos County Courthouse,Coos,OR,US,2020-06-02,nearly 200,200,,200,,,general protestors,against antifa,2,armed counter-protest,0,0,0,0,1,1,https://theworldlink.com/news/local/coquille-citizens-rally-in-anticipation-of-antifa-threat/collection_71a9dfac-a562-11ea-b81d-1f2184b2b90b.html#3,,,turned out over rumored riot,,,,,,,,,,,,,,,,,,,
Rapid City,,Pennington ,SD,US,2020-06-02,about two dozen,24,,24,,,general protesters,against anti-racism protestors; pro-Trump,2,counter-protest,0,0,0,0,0,1,https://rapidcityjournal.com/news/local/rapid-city-police-arrest-five-on-tuesday-night-say-counter-protesters-are-agitating/article_3722ceae-3bd4-5d63-b2e3-896cf266d52d.html,,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
St. Albans,near Taylor Park,Franklin,VT,US,2020-06-02,,,,,,,general protesters,all lives matter,0,counter-protest,0,0,0,0,0,1,https://www.wcax.com/content/news/Protesters-counterprotesters-get-into-shouting-match-in-St-Albans-570964141.html,,,arrest noted on protest row,,,,,,,,,,,,,,,,,,,
Atlantic,Sunnyside Park,Cass,IA,US,2020-06-03,,,,,,,local residents,support local police officers,2,rally ,0,0,0,0,1,1,https://westerniowatoday.com/2020/06/03/citizens-gather-at-sunnyside-park-in-atlantic-take-a-knee-and-say-a-prayer/,,,,,,,,,,,,,,,,,,,,,,
Chattanooga,,Hamilton,TN,US,2020-06-03,na,1,,1,,,general protestors,armed counter-protest,2,counter-protest,1,0,0,0,0,1,https://www.timesfreepress.com/news/local/story/2020/jun/04/chattanoogpolice-arrested-mloaded-ak-47-durin/524573/,,,,,,,,,,,,,,,,,,,,,,
Oakdale,downtown,Stanislaus,CA,US,2020-06-03,count video: dozens,24,,24,,,general protesters,against Black Lives Matter,2,counter-protest,0,0,0,0,0,1,https://www.modbee.com/news/local/article243251251.html,,,,,,,,,,,,,,,,,,,,,,
Whitefish,City Hall; downtown,,MT,US,2020-06-03,na,1,,1,,,general protesters,opposing BLM; All Lives Matter; counter protest,2,counter-protest,1,0,0,0,0,1,https://dailyinterlake.com/news/2020/jun/18/man-pleads-not-guilty-to-protest-related-6/,,,,,,,,,,,,,,,,,,,,,,
Anderson,,Madison ,IN,US,2020-06-04,na,1,,1,,,general protesters,against bad conditions in jail,0,protest,0,1,0,0,1,1,https://www.wfla.com/news/inmate-cuts-off-part-of-finger-mails-it-to-newspaper-to-protest-jail-conditions/,,,,,,,,,,,,,,,,,,,,,,
Ann Arbor,West Park to downtown,Washtenaw,MI,US,2020-06-04,na,1,,1,,,general protesters,pro-Trump,2,counter-protest,0,0,0,0,0,1,https://www.mlive.com/news/ann-arbor/2020/06/white-people-do-something-ann-arbor-protest-organizer-says-during-march-through-neighborhoods.html,,,,,,,,,,,,,,,,,,,,,,
Coeur d'Alene,alongside US 95 and Appleway Avenue,Kootenai,ID,US,2020-06-04,,,,,,,general protesters,opposing BLM; All Lives Matter; counter protest,0,counter-protest,0,0,0,0,0,1,https://cdapress.com/news/2020/jun/05/unity-and-awareness-5/,,,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson County School Board meeting,,KY,US,2020-06-04,about 40,40,,40,,,student athletes and their parents,calling for the reopening of sports practices; immediate return to sports practices,0,protest,0,0,0,0,1,1,https://www.courierpress.com/story/news/2020/06/25/athletes-protest-school-board-meeting-restricted-practices-resume-july-13/3261514001/,,,,,,,,,,,,,,,,,,,,,,
Howell,in front of Thai Cafe on Grand River Ave,,MI,US,2020-06-04,na,2,,2,,,general protesters,oppose BLM,2,counter-protest,0,1,0,0,1,1,https://www.livingstondaily.com/story/news/local/2020/06/08/howell-police-seeking-charge-after-counter-protester-assaulted/5318840002/,,,,,,,,,,,,,,,,,,,,,,
Norristown,,Montgomery,PA,US,2020-06-04,a few hundred,300,,300,,,general protesters,call on a County Commisioner to resign for calling Black Lives Matter a radical left-wing hate group,0,protest,0,0,0,0,1,1,https://twitter.com/erinK_mccarthy/status/1268543951096762370,https://twitter.com/erinK_mccarthy/status/1268549522973745153,,,,,,,,,,,,,,,,,,,,,
Pinedale,north side of Pine St,Sublette,WY,US,2020-06-04,about 10,10,,10,,,general protesters,opposing BLM; All Lives Matter; counter protest,2,counter protest,0,0,0,0,1,1,https://www.jhnewsandguide.com/jackson_hole_daily/local/area-protesters-demonstrate-in-pinedale/article_1ab6284f-da01-5e86-95c8-7f27f0b17d5c.html,,,,,,,,,,,,,,,,,,,,,,
Yamhill County,courthouse,Yamhill,OR,US,2020-06-04,na,25,,25,,,county employees,protest lack of PPE for COVID,0,protest,0,0,0,0,1,1,https://newsregister.com/article?articleTitle=county-employees-rally-over-treatment-during-covid-19--1591318534--37312--news,,,,,,,,,,,,,,,,,,,,,,
Bad Axe,county building,Huron,MI,US,2020-06-05,several ,3,,3,,,general protester,opposing BLM; All Lives Matter; counter protest,2,counter-protest,0,0,0,0,1,1,https://thumbwind.com/2020/06/05/black-lives-matter-protest-comes-to-bad-axe-michigan/,,,,,,,,,,,,,,,,,,,,,,
Chicago,South Pulaski Rd; in front of Old Crawford power plant,,IL ,US,2020-06-05,,,,,,,general protester,against demolition of power plant,0,protest,0,0,0,0,1,1,https://chicago.suntimes.com/2020/6/18/21295806/chicago-fire-department-clears-employee-little-village-protest-probe,,,,,,,,,,,,,,,,,,,,,,
Hernando,downtown,DeSoto,MS,US,2020-06-05,na,2,,2,,,general protesters,opposing BLM; All Lives Matter; counter protest,2,protest,0,0,0,0,0,1,https://www.commercialappeal.com/picture-gallery/news/2020/06/06/george-floyd-hernando-protest/3161064001/,,,,,,,,,,,,,,,,,,,,,,
La Porte,downtown,,IN,US,2020-06-05,,,,,,,general protesters,pro-Trump,2,protest,0,0,0,0,0,1,https://www.nwitimes.com/news/local/lake/gary/watch-now-crowd-of-protesters-call-for-accountability-social-justice-outside-gary-city-hall/article_2d9ad4ba-3abc-54e4-9a96-3248f24a3950.html,,,,,,,,,,,,,,,,,,,,,,
Mercersburg,downtown,,PA,US,2020-06-05,about 30,30,,30,,,general protesters,against move of Town Hall,0,protest,0,0,0,0,1,1,https://www.heraldmailmedia.com/news/tri_state/pennsylvania/mercersburg-residents-protest-to-keep-town-hall-in-borough/article_9c39aec9-ccbf-55a7-8e99-cf71b99feae1.html,,,,,,,,,,,,,,,,,,,,,,
Mission Hills,24th and Mission,,CA,US,2020-06-05,,,,,,,general protestors,against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CBDtvBDh00U/?utm_source=ig_embed,,,,,,,,,,,,,,,,,,,,,,
Newton,Newton Green,Sussex,NJ,US,2020-06-05,,,,,,,general protesters,oppose BLM,2,counter-protest,0,0,0,0,1,1,https://www.northjersey.com/story/news/local/2020/06/06/sussex-county-nj-black-lives-matter-protests-george-floyd/3166880001/,,,,,,,,,,,,,,,,,,,,,,
Oakland,Frank Ogawa Plaza,,CA,US,2020-06-05,,,,,,,general protestors,commemorate Tony McDade; pro LGBTQ rights,1,"vigil, march",0,0,0,0,1,1,https://sf.funcheap.com/vigil-march-oakland/,,,,,,,,,,,,,,,,,,,,,,
