CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,
Burlington,Battery Park,,VT,US,2020-09-01,"more than 500; more than 1,000",500,,1000,,,general protesters,"against racism, against police violence, for police reform",1,encampment; march,,,,,1,1,https://www.wcax.com/2020/09/02/burlington-protests-continue-police-say-demands-wont-be-met/,https://vtdigger.org/2020/09/10/protesters-say-they-wont-give-in-can-burlington-remove-these-cops/,,,,
Dallas,Spring Valley Rd,,TX,US,2020-09-01,,10,,10,,,general protesters,for eviction moratorium during COVID-19 pandemic,1,demonstration,,,,,1,1,https://www.dallasobserver.com/news/dallas-demonstration-for-more-help-for-unemployed-draws-tiny-group-11939637,,,,,
El Cerrito,El Cerrito Plaza BART,,CA,US,2020-09-01,,,,,,,general protestors,antiracism; against police brutality,1,caravan,,,,,1,1,https://sf.funcheap.com/justice-peace-caravan-support-black-lives-matter-2/,,,,,
Kenosha,40th St and 28th Ave,,WI,US,2020-09-01,,,,,,,general protesters,"against racism, against police violence",1,community gathering,,,,,1,1,https://twitter.com/FightFor15WI/status/1300840900441104384,,,#JusticeForJacob,,
Kenosha,City of Kenosha Municipal Building,,WI,US,2020-09-01,,,,,,,Refuse Fascism Chicago; Degenerate Artists Against Fascism; #NoMore; Black Lives Matter Lake County Illinois,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,0,1,https://www.facebook.com/events/936438776864639/,,,,,
Leesburg,Loudon County Government Center,Loudon,VA,US,2020-09-01,roughly 100,100,,100,,,Virginia Constitutional Conservatives,for gun rights,2,rally,,,,,1,1,https://www.facebook.com/events/932800373907418/,https://www.loudountimes.com/news/loudoun-county-supervisors-advance-local-regulations-related-to-firearms/article_5119af6e-ed2f-11ea-82d0-774661d56531.html,,,,
New York,Brooklyn,,NY,US,2020-09-01,count pic,15,,,,,teachers; parents; children,against reopening public schools during COVID-19 pandemic,1,protest,,,,,1,1,https://gothamist.com/news/teachers-will-ask-judge-block-person-learning-nyc-public-schools,,,,,
Portland,Alberta Park,,OR,US,2020-09-01,,,,,,,general protesters,"against racism, against police violence",1,protest,,,,,1,1,https://www.kgw.com/article/news/local/protests/protesters-to-march-from-woodstock-park/283-c238e2ac-789d-473a-aa47-eade498333ac,,,Crowd met but decided not to march due to small numbers.,,
San Francisco,,,CA,US,2020-09-01,,,,,,,Resistance SF,Medicare for all; UBI; cancel rent; safe housing; living wage; equal education; racial justice,1,strike,,,,,1,1,https://www.instagram.com/p/CEYE01tBFWF/,,,,,
San Jose,San Jose State University,,CA,US,2020-09-01,,,,,,,football players,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CElC5frhvbZ/,,,,,
Burlington,Battery Park,,VT,US,2020-09-02,,,,,,,general protesters,"against racism, against police violence",1,encampment; march,,,,,1,1,https://www.wcax.com/2020/09/09/burlington-city-council-holds-emergency-meeting-to-hear-from-protesters/,,,,,
